,Na,SO42-,NH4+,NO3-,Cl-,Ca,K+,Mg,RH,Temp
W01,1.41,3.94,1.98,1.37,1.67,0,0.64,0.11,0.3301,299.39
W02,0.71,3.31,1.4,1.83,0.95,0,0.76,0,0.5375,298.21
W03,1.29,2.24,0.8,0.96,1.48,0,0.7,0.03,0.3525,300.6
W04,1.91,3.54,4.07,2.07,1.41,1.65,1.22,0.51,0.286,302.15
W05,0.6,4.35,3.44,1.84,0.74,2.02,0.99,0.06,0.2362,305.12
W06,0.52,4.23,1.46,1.73,0.71,2.97,1.01,0.09,0.1682,306.95
W07,1.62,2.52,1.76,6.42,1.7,0,0.96,0,0.2849,304.51
W08,0.84,3.96,2.2,3.56,0.95,0,0.85,0,0.4098,300.36
W09,2.04,4,1.27,1.95,2.39,0,0.97,0,0.4481,301.91
W10,2.97,4.58,1.48,1.84,3.31,0,0.96,0,0.6349,299.42
W11,0.94,3.78,1.72,0.51,1.15,0,1.04,0,0.3252,305.87
W12,0.87,4.59,0.98,1.41,1.02,0,1.26,0,0.2317,305.22
W13,4.46,4.18,3.94,0.93,4.39,2.96,1.69,0.41,0.2762,307.38
W14,1.76,4.16,3.67,0.93,1.88,1.2,1.02,0.09,0.276,307.56
W15,2.02,4.25,3.03,0.59,2.2,0,0.88,0,0.2142,311.13
W16,1.17,3.82,2.89,0.47,1.47,0,0.75,0,0.4667,303.82
W17,0.99,1.8,3.72,0.44,1.25,0,0.83,0,0.3815,305.83
W18,0.88,4.86,7.24,0.38,1.08,0,0.92,0,0.3426,307.54
